pmc_index	pmcc_index	mc7	mc8	mc8o	mc9	mc10	mc11	mc12	pmcc_id	pmcc_uuid	pmcc_submission_time	pmcc_parent_table_name	pmcc_parent_index	pmcc_tags	pmcc_notes	pmcc_version	pmcc_duration	pmcc_submitted_by
447.0	478	"legumes_oilseeds"	"sunflower"		1	0	3.0	1				"rgrp2"	447					
448.0	479	"cereals"	"maize"		1	0	4.0	1				"rgrp2"	448					
448.0	480	"legumes_oilseeds"	"beans"		3	1	1.0	10				"rgrp2"	448					
449.0	481	"cereals"	"maize"		1	0	5.0	1				"rgrp2"	449					
449.0	482	"legumes_oilseeds"	"groundnut"		3	0	3.0	10				"rgrp2"	449					
450.0	483	"cereals"	"maize"		1	1	16.0	10				"rgrp2"	450					
450.0	484	"legumes_oilseeds"	"beans"		3	1	1.0	10				"rgrp2"	450					
452.0	485	"cereals"	"maize"		1	0	25.0	1				"rgrp2"	452					
453.0	486	"cash_other"	"tobacco"		1	0	50.0	6				"rgrp2"	453					
454.0	487	"legumes_oilseeds"	"beans"		1	0	1.5	1				"rgrp2"	454					
455.0	488	"cereals"	"maize"		1	0	25.0	1				"rgrp2"	455					
456.0	489	"cereals"	"maize"		1	0	25.0	1				"rgrp2"	456					
457.0	490	"legumes_oilseeds"	"beans"		1	0	4.0	1				"rgrp2"	457					
459.0	491	"cereals"	"maize"		1	1	3.0	0				"rgrp2"	459					
460.0	492	"cereals"	"maize"		1	0	30.0	0				"rgrp2"	460					
462.0	493	"cereals"	"maize"		1	0	15.0	0				"rgrp2"	462					
463.0	494	"legumes_oilseeds"	"sunflower"		1	1	1.5	0				"rgrp2"	463					
465.0	495	"cereals"	"maize"		1	0	70.0	1				"rgrp2"	465					
469.0	496	"cereals"	"maize"		1	0	16.0	1				"rgrp2"	469					
472.0	497	"cereals"	"maize"		1	0	25.0	1				"rgrp2"	472					
474.0	498	"cereals"	"paddy"		1	0	20.0	2				"rgrp2"	474					
475.0	499	"legumes_oilseeds"	"sunflower"		1	0	1.0	2				"rgrp2"	475					
476.0	500	"cereals"	"maize"		2	0	20.0	0				"rgrp2"	476					
476.0	501	"legumes_oilseeds"	"sunflower"		4	0	5.0	0				"rgrp2"	476					
477.0	502	"cereals"	"maize"		1	0	90.0	0				"rgrp2"	477					
478.0	503	"cereals"	"maize"		3	0	7.0	0				"rgrp2"	478					
478.0	504	"legumes_oilseeds"	"beans"		3	0	3.0	0				"rgrp2"	478					
479.0	505	"cereals"	"maize"		2	0	15.0	0				"rgrp2"	479					
479.0	506	"vegetables"	"pumpkins"		5	0	20.0	23				"rgrp2"	479					
482.0	507	"cereals"	"maize"		1	0	15.0	1				"rgrp2"	482					
483.0	508	"cereals"	"maize"		1	0	5.0	1				"rgrp2"	483					
484.0	509	"cereals"	"maize"		1	0	5.0	1				"rgrp2"	484					
485.0	510	"cereals"	"maize"		2	1	2.0	1				"rgrp2"	485					
485.0	511	"legumes_oilseeds"	"sunflower"		4	1	8.0	10				"rgrp2"	485					
490.0	512	"cereals"	"maize"		2	0	15.0	1				"rgrp2"	490					
490.0	513	"legumes_oilseeds"	"sunflower"		4	1	9.0	10				"rgrp2"	490					
491.0	514	"vegetables"	"spinach"		1	0	3.0	14				"rgrp2"	491					
492.0	515	"cereals"	"maize"		2	1	4.0	10				"rgrp2"	492					
492.0	516	"legumes_oilseeds"	"beans"		4	1	1.0	5				"rgrp2"	492					
493.0	517	"cereals"	"maize"		1	0	3.0	1				"rgrp2"	493					
494.0	518	"cereals"	"maize"		1	1	15.0	1				"rgrp2"	494					
495.0	519	"cereals"	"maize"		1	1	9.0	10				"rgrp2"	495					
497.0	520	"cereals"	"maize"		4	0	1.0	1				"rgrp2"	497					
497.0	521	"legumes_oilseeds"	"groundnut"		2	0	7.0	10				"rgrp2"	497					
498.0	522	"cereals"	"maize"		1	0	20.0	1				"rgrp2"	498					
499.0	523	"cash_other"	"tobacco"		1	0	210.0	22				"rgrp2"	499					
501.0	524	"legumes_oilseeds"	"beans"		1	0	2.0	10				"rgrp2"	501					
502.0	525	"cereals"	"maize"		1	1	80.0	0				"rgrp2"	502					
503.0	526	"legumes_oilseeds"	"beans"		1	0	4.0	0				"rgrp2"	503					
504.0	527	"legumes_oilseeds"	"sunflower"		1	0	17.0	2				"rgrp2"	504					
506.0	528	"legumes_oilseeds"	"beans"		1	1	2.0	1				"rgrp2"	506					
507.0	529	"cash_other"	"coffee"		1	0	0.0	8				"rgrp2"	507					
508.0	530	"cereals"	"maize"		1	0	5.0	1				"rgrp2"	508					
509.0	531	"legumes_oilseeds"	"beans"		1	1	10.0	0				"rgrp2"	509					
510.0	532	"cereals"	"maize"		1	0	100.0	0				"rgrp2"	510					
511.0	533	"cash_other"	"coffee"		1	0	20.0	0				"rgrp2"	511					
512.0	534	"legumes_oilseeds"	"groundnut"		1	0	5.0	1				"rgrp2"	512					
512.0	535	"legumes_oilseeds"	"sunflower"		1	0	2.0	1				"rgrp2"	512					
513.0	536	"cereals"	"maize"		1	0	7.0	1				"rgrp2"	513					
514.0	537	"cash_other"	"coffee"		1	0	1.0	1				"rgrp2"	514					
515.0	538	"legumes_oilseeds"	"beans"		1	1	2.0	1				"rgrp2"	515					
516.0	539	"cereals"	"maize"		1	0	3.0	1				"rgrp2"	516					
516.0	540	"legumes_oilseeds"	"sunflower"		2	1	4.0	10				"rgrp2"	516					
517.0	541	"legumes_oilseeds"	"beans"		1	0	3.0	10				"rgrp2"	517					
518.0	542	"legumes_oilseeds"	"beans"		1	1	1.0	1				"rgrp2"	518					
520.0	543	"legumes_oilseeds"	"beans"		1	0	3.0	1				"rgrp2"	520					
522.0	544	"legumes_oilseeds"	"beans"		1	1	7.0	0				"rgrp2"	522					
523.0	545	"cereals"	"maize"		1	0	10.0	0				"rgrp2"	523					
524.0	546	"legumes_oilseeds"	"beans"		1	0	2.0	10				"rgrp2"	524					
525.0	547	"legumes_oilseeds"	"groundnut"		1	0	2.0	2				"rgrp2"	525					
526.0	548	"cash_other"	"coffee"		1	0	200.0	8				"rgrp2"	526					
527.0	549	"cereals"	"maize"		1	0	15.0	1				"rgrp2"	527					
528.0	550	"legumes_oilseeds"	"beans"		3	0	4.0	10				"rgrp2"	528					
528.0	551	"legumes_oilseeds"	"groundnut"		3	0	4.0	2				"rgrp2"	528					
529.0	552	"cereals"	"maize"		1	0	40.0	0				"rgrp2"	529					
530.0	553	"cash_other"	"coffee"		1	0	3.0	0				"rgrp2"	530					
532.0	554	"legumes_oilseeds"	"beans"		1	0	2.0	0				"rgrp2"	532					
533.0	555	"cereals"	"maize"		1	0	40.0	0				"rgrp2"	533					
534.0	556	"legumes_oilseeds"	"beans"		1	0	4.0	0				"rgrp2"	534					
535.0	557	"cereals"	"maize"		1	0	65.0	0				"rgrp2"	535					
536.0	558	"cereals"	"maize"		1	0	80.0	0				"rgrp2"	536					
537.0	559	"cash_other"	"coffee"		1	0	1.5	0				"rgrp2"	537					
538.0	560	"cash_other"	"coffee"		1	0	1.0	0				"rgrp2"	538					
539.0	561	"cereals"	"maize"		4	1	4.0	0				"rgrp2"	539					
540.0	562	"legumes_oilseeds"	"beans"		2	0	3.0	0				"rgrp2"	540					
540.0	563	"legumes_oilseeds"	"groundnut"		4	0	2.0	2				"rgrp2"	540					
541.0	564	"cereals"	"maize"		1	0	10.0	0				"rgrp2"	541					
542.0	565	"cash_other"	"coffee"		1	0	10.0	8				"rgrp2"	542					
545.0	566	"legumes_oilseeds"	"groundnut"		3	0	6.0	3				"rgrp2"	545					
545.0	567	"legumes_oilseeds"	"sunflower"		3	0	2.0	2				"rgrp2"	545					
546.0	568	"cereals"	"maize"		1	0	60.0	1				"rgrp2"	546					
547.0	569	"legumes_oilseeds"	"beans"		3	0	1.0	1				"rgrp2"	547					
547.0	570	"legumes_oilseeds"	"sunflower"		4	0	2.0	2				"rgrp2"	547					
547.0	571	"legumes_oilseeds"	"groundnut"		4	0	3.0	2				"rgrp2"	547					
548.0	572	"cash_other"	"coffee"		1	0	4.0	10				"rgrp2"	548					
549.0	573	"legumes_oilseeds"	"beans"		1	1	6.0	1				"rgrp2"	549					
550.0	574	"legumes_oilseeds"	"groundnut"		1	0	5.0	2				"rgrp2"	550					
551.0	575	"cash_other"	"coffee"		1	0	10.0	1				"rgrp2"	551					
552.0	576	"cereals"	"maize"		1	0	12.0	1				"rgrp2"	552					
