psc_index	pscc_index	sc7	sc8	sc8o	sc9	sc10	sc11	sc12	pscc_id	pscc_uuid	pscc_submission_time	pscc_parent_table_name	pscc_parent_index	pscc_tags	pscc_notes	pscc_version	pscc_duration	pscc_submitted_by
1808.0	168	"legumes_oilseeds"	"pigeon_pea"		4	0	0.0	0				"rgrp4"	1808					
1810.0	169	"cereals"	"maize"		3	1	0.0	1				"rgrp4"	1810					
1810.0	170	"legumes_oilseeds"	"groundnut"		3	1	20.0	8				"rgrp4"	1810					
1811.0	171	"roots_tubers"	"cassava"		1	0	10.0	1				"rgrp4"	1811					
1813.0	172	"cereals"	"maize"		2	1	0.0	1				"rgrp4"	1813					
1813.0	173	"legumes_oilseeds"	"pigeon_pea"		4	0	0.0	1				"rgrp4"	1813					
1813.0	174	"roots_tubers"	"cassava"		4	0	0.0	1				"rgrp4"	1813					
1815.0	175	"cereals"	"maize"		3	1	0.0	1				"rgrp4"	1815					
1815.0	176	"legumes_oilseeds"	"pigeon_pea"		3	1	0.0	1				"rgrp4"	1815					
1817.0	177	"cereals"	"maize"		3	1	4.0	10				"rgrp4"	1817					
1817.0	178	"legumes_oilseeds"	"beans"		3	1	6.0	10				"rgrp4"	1817					
1818.0	179	"cereals"	"maize"		3	1	4.0	10				"rgrp4"	1818					
1818.0	180	"legumes_oilseeds"	"beans"		3	1	3.0	10				"rgrp4"	1818					
1819.0	181	"legumes_oilseeds"	"sunflower"		1	1	5.0	10				"rgrp4"	1819					
1820.0	182	"cereals"	"maize"		3	1	0.0	8				"rgrp4"	1820					
1820.0	183	"legumes_oilseeds"	"sunflower"		3	0	1.0	10				"rgrp4"	1820					
1821.0	184	"legumes_oilseeds"	"groundnut"		3	1	0.0	8				"rgrp4"	1821					
1821.0	185	"legumes_oilseeds"	"cowpeas"		3	1	1.0	12				"rgrp4"	1821					
1822.0	186	"legumes_oilseeds"	"pigeon_pea"		3	0	0.0	8				"rgrp4"	1822					
1822.0	187	"legumes_oilseeds"	"groundnut"		3	1	1.0	11				"rgrp4"	1822					
1823.0	188	"cereals"	"maize"		3	1	3.0	10				"rgrp4"	1823					
1823.0	189	"legumes_oilseeds"	"beans"		5	1	1.0	11				"rgrp4"	1823					
1823.0	190	"legumes_oilseeds"	"pigeon_pea"		4	0	0.0	8				"rgrp4"	1823					
1823.0	191	"legumes_oilseeds"	"sunflower"		5	1	3.0	10				"rgrp4"	1823					
1825.0	192	"cereals"	"maize"		1	1	1.0	11				"rgrp4"	1825					
1826.0	193	"cereals"	"maize"		1	1	1.0	10				"rgrp4"	1826					
1827.0	194	"legumes_oilseeds"	"sunflower"		3	1	1.0	10				"rgrp4"	1827					
1827.0	195	"legumes_oilseeds"	"beans"		3	1	1.0	11				"rgrp4"	1827					
1828.0	196	"legumes_oilseeds"	"sunflower"		3	1	1.0	11				"rgrp4"	1828					
1828.0	197	"legumes_oilseeds"	"beans"		3	1	1.0	12				"rgrp4"	1828					
1829.0	198	"legumes_oilseeds"	"beans"		1	1	3.0	10				"rgrp4"	1829					
1830.0	199	"cereals"	"maize"		2	1	2.0	10				"rgrp4"	1830					
1830.0	200	"legumes_oilseeds"	"beans"		4	1	1.0	10				"rgrp4"	1830					
1831.0	201	"legumes_oilseeds"	"groundnut"		1	1	1.0	3				"rgrp4"	1831					
1832.0	202	"legumes_oilseeds"	"groundnut"		1	1	1.0	3				"rgrp4"	1832					
1833.0	203	"cereals"	"maize"		1	1	45.0	8				"rgrp4"	1833					
1834.0	204	"fruits"	"banana"		1	0	10.0	17				"rgrp4"	1834					
1834.0	205	"cash_other"	"coffee"		4	0	20.0	8				"rgrp4"	1834					
1835.0	206	"cereals"	"maize"		1	1	1.0	0				"rgrp4"	1835					
1835.0	207	"cereals"	"finger_millet"		4	1	5.0	8				"rgrp4"	1835					
1836.0	208	"cereals"	"maize"		1	1	2.0	0				"rgrp4"	1836					
1837.0	209	"cereals"	"maize"		4	1	50.0	8				"rgrp4"	1837					
1837.0	210	"fruits"	"banana"		1	0	4.0	17				"rgrp4"	1837					
1838.0	211	"legumes_oilseeds"	"cowpeas"		3	1	20.0	8				"rgrp4"	1838					
1838.0	212	"legumes_oilseeds"	"green_gram"		3	1	25.0	8				"rgrp4"	1838					
1839.0	213	"cereals"	"finger_millet"		3	1	15.0	8				"rgrp4"	1839					
1839.0	214	"legumes_oilseeds"	"sunflower"		4	1	30.0	8				"rgrp4"	1839					
1840.0	215	"cereals"	"maize"		3	1	5.0	8				"rgrp4"	1840					
1840.0	216	"legumes_oilseeds"	"sunflower"		5	1	0.0	8				"rgrp4"	1840					
1840.0	217	"legumes_oilseeds"	"beans"		4	1	7.0	8				"rgrp4"	1840					
1840.0	218	"legumes_oilseeds"	"groundnut"		5	1	1.0	10				"rgrp4"	1840					
1841.0	219	"cereals"	"maize"		4	1	1.0	1				"rgrp4"	1841					
1841.0	220	"legumes_oilseeds"	"beans"		4	1	1.0	1				"rgrp4"	1841					
1841.0	221	"legumes_oilseeds"	"sunflower"		4	1	1.0	2				"rgrp4"	1841					
1841.0	222	"legumes_oilseeds"	"green_gram"		5	1	30.0	8				"rgrp4"	1841					
1843.0	223	"cereals"	"maize"		3	1	50.0	3				"rgrp4"	1843					
1843.0	224	"legumes_oilseeds"	"beans"		3	1	60.0	8				"rgrp4"	1843					
1843.0	225	"legumes_oilseeds"	"sunflower"		4	1	35.0	8				"rgrp4"	1843					
1843.0	226	"legumes_oilseeds"	"green_gram"		5	1	1.0	10				"rgrp4"	1843					
1844.0	227	"cereals"	"maize"		3	1	1.0	1				"rgrp4"	1844					
1844.0	228	"legumes_oilseeds"	"beans"		3	1	80.0	8				"rgrp4"	1844					
1844.0	229	"legumes_oilseeds"	"cowpeas"		4	1	20.0	8				"rgrp4"	1844					
1844.0	230	"legumes_oilseeds"	"sunflower"		4	1	1.0	2				"rgrp4"	1844					
1845.0	231	"cereals"	"maize"		3	1	0.0	1				"rgrp4"	1845					
1845.0	232	"legumes_oilseeds"	"groundnut"		3	1	0.0	2				"rgrp4"	1845					
1846.0	233	"cereals"	"maize"		3	1	0.0	1				"rgrp4"	1846					
1846.0	234	"legumes_oilseeds"	"beans"		3	1	0.0	1				"rgrp4"	1846					
1847.0	235	"cereals"	"maize"		3	1	0.0	1				"rgrp4"	1847					
1847.0	236	"legumes_oilseeds"	"cowpeas"		4	1	10.0	8				"rgrp4"	1847					
1847.0	237	"legumes_oilseeds"	"groundnut"		4	1	2.0	10				"rgrp4"	1847					
1850.0	238	"cereals"	"maize"		2	1	4.0	10				"rgrp4"	1850					
1850.0	239	"legumes_oilseeds"	"beans"		4	1	4.0	10				"rgrp4"	1850					
1851.0	240	"legumes_oilseeds"	"groundnut"		2	1	0.0	8				"rgrp4"	1851					
1851.0	241	"cereals"	"maize"		4	1	0.0	8				"rgrp4"	1851					
1852.0	242	"legumes_oilseeds"	"groundnut"		3	1	0.0	8				"rgrp4"	1852					
1852.0	243	"cereals"	"maize"		4	1	0.0	8				"rgrp4"	1852					
