hh_index	cropsales_index	csal2g	csal2c	csal3	csal4	csal5	csal6	csal7	cropsales_id	cropsales_uuid	cropsales_submission_time	cropsales_parent_table_name	cropsales_parent_index	cropsales_tags	cropsales_notes	cropsales_version	cropsales_duration	cropsales_submitted_by
572.0	593	"cereals"	"sorghum"	1.2	1	1.0	1	35000				"APS_tz17_hh"	572					
572.0	594	"legumes_oilseeds"	"sunflower"	1.5	1	1.0	1	30000				"APS_tz17_hh"	572					
573.0	595	"cereals"	"maize"	63.0	1	33.0	1	80000				"APS_tz17_hh"	573					
574.0	596	"vegetables"	"tomatoes"	160.0	8	160.0	8	40000				"APS_tz17_hh"	574					
576.0	597	"legumes_oilseeds"	"pigeon_pea"	1.5	1	1.0	1	80000				"APS_tz17_hh"	576					
577.0	598	"legumes_oilseeds"	"pigeon_pea"	1.4	1	1.4	1	120000				"APS_tz17_hh"	577					
578.0	599	"cereals"	"maize"	20.0	0	15.0	0	60000				"APS_tz17_hh"	578					
578.0	600	"legumes_oilseeds"	"pigeon_pea"	2.0	0	2.0	0	100000				"APS_tz17_hh"	578					
579.0	601	"legumes_oilseeds"	"pigeon_pea"	1.3	0	1.3	0	90000				"APS_tz17_hh"	579					
580.0	602	"cereals"	"maize"	6.0	1	2.0	1	100000				"APS_tz17_hh"	580					
582.0	603	"cereals"	"maize"	99.0	1	89.0	1	100000				"APS_tz17_hh"	582					
582.0	604	"legumes_oilseeds"	"pigeon_pea"	20.5	0	20.0	0	120000				"APS_tz17_hh"	582					
582.0	605	"legumes_oilseeds"	"beans"	6.0	1	4.0	1	180000				"APS_tz17_hh"	582					
583.0	606	"cereals"	"maize"	86.0	1	70.0	1	120000				"APS_tz17_hh"	583					
583.0	607	"legumes_oilseeds"	"pigeon_pea"	15.5	0	15.0	0	120000				"APS_tz17_hh"	583					
583.0	608	"legumes_oilseeds"	"beans"	10.0	1	5.0	1	160000				"APS_tz17_hh"	583					
