fp_index	fpweed_index	weeding_mo	weeding_wk	weeding_typ	fpweed_id	fpweed_uuid	fpweed_submission_time	fpweed_parent_table_name	fpweed_parent_index	fpweed_tags	fpweed_notes	fpweed_version	fpweed_duration	fpweed_submitted_by
143.0	224	2	3	1				"APS_tz17_fp"	143					
144.0	225	1	1	1				"APS_tz17_fp"	144					
144.0	226	3	1	1				"APS_tz17_fp"	144					
145.0	227	12	3	1				"APS_tz17_fp"	145					
145.0	228	2	3	1				"APS_tz17_fp"	145					
146.0	229	1	2	1				"APS_tz17_fp"	146					
146.0	230	2	2	1				"APS_tz17_fp"	146					
146.0	231	3	3	1				"APS_tz17_fp"	146					
147.0	232	1	1	1				"APS_tz17_fp"	147					
147.0	233	1	4	1				"APS_tz17_fp"	147					
147.0	234	2	3	1				"APS_tz17_fp"	147					
148.0	235	1	1	1				"APS_tz17_fp"	148					
148.0	236	2	3	1				"APS_tz17_fp"	148					
148.0	237	3	3	1				"APS_tz17_fp"	148					
149.0	238	1	1	1				"APS_tz17_fp"	149					
149.0	239	2	1	1				"APS_tz17_fp"	149					
149.0	240	3	3	1				"APS_tz17_fp"	149					
150.0	241	1	4	1				"APS_tz17_fp"	150					
150.0	242	2	4	1				"APS_tz17_fp"	150					
151.0	243	1	1	1				"APS_tz17_fp"	151					
151.0	244	3	2	1				"APS_tz17_fp"	151					
152.0	245	1	3	1				"APS_tz17_fp"	152					
152.0	246	3	2	1				"APS_tz17_fp"	152					
153.0	247	1	1	1				"APS_tz17_fp"	153					
153.0	248	3	2	1				"APS_tz17_fp"	153					
154.0	249	1	1	1				"APS_tz17_fp"	154					
154.0	250	2	4	1				"APS_tz17_fp"	154					
155.0	251	1	3	1				"APS_tz17_fp"	155					
156.0	252	1	1	1				"APS_tz17_fp"	156					
156.0	253	2	1	1				"APS_tz17_fp"	156					
157.0	254	12	4	1				"APS_tz17_fp"	157					
157.0	255	2	4	1				"APS_tz17_fp"	157					
158.0	256	1	2	1				"APS_tz17_fp"	158					
158.0	257	2	3	1				"APS_tz17_fp"	158					
159.0	258	1	1	1				"APS_tz17_fp"	159					
159.0	259	2	3	1				"APS_tz17_fp"	159					
160.0	260	1	4	1				"APS_tz17_fp"	160					
160.0	261	2	4	1				"APS_tz17_fp"	160					
161.0	262	1	1	1				"APS_tz17_fp"	161					
161.0	263	2	1	1				"APS_tz17_fp"	161					
161.0	264	3	1	1				"APS_tz17_fp"	161					
162.0	265	1	1	1				"APS_tz17_fp"	162					
162.0	266	2	2	1				"APS_tz17_fp"	162					
163.0	267	1	4	1				"APS_tz17_fp"	163					
163.0	268	2	2	1				"APS_tz17_fp"	163					
164.0	269	2	2	1				"APS_tz17_fp"	164					
164.0	270	3	4	1				"APS_tz17_fp"	164					
165.0	271	2	1	1				"APS_tz17_fp"	165					
165.0	272	3	3	1				"APS_tz17_fp"	165					
166.0	273	1	4	1				"APS_tz17_fp"	166					
166.0	274	3	3	1				"APS_tz17_fp"	166					
167.0	275	2	2	1				"APS_tz17_fp"	167					
167.0	276	3	4	1				"APS_tz17_fp"	167					
168.0	277	2	3	1				"APS_tz17_fp"	168					
168.0	278	3	1	1				"APS_tz17_fp"	168					
169.0	279	2	1	1				"APS_tz17_fp"	169					
169.0	280	3	1	1				"APS_tz17_fp"	169					
170.0	281	3	2	1				"APS_tz17_fp"	170					
171.0	282	2	2	1				"APS_tz17_fp"	171					
171.0	283	3	2	1				"APS_tz17_fp"	171					
172.0	284	1	4	1				"APS_tz17_fp"	172					
172.0	285	2	4	1				"APS_tz17_fp"	172					
173.0	286	1	4	1				"APS_tz17_fp"	173					
173.0	287	3	2	1				"APS_tz17_fp"	173					
174.0	288	1	4	1				"APS_tz17_fp"	174					
174.0	289	2	4	1				"APS_tz17_fp"	174					
175.0	290	1	4	1				"APS_tz17_fp"	175					
175.0	291	3	1	1				"APS_tz17_fp"	175					
176.0	292	2	1	1				"APS_tz17_fp"	176					
176.0	293	3	1	1				"APS_tz17_fp"	176					
177.0	294	2	2	1				"APS_tz17_fp"	177					
177.0	295	3	2	1				"APS_tz17_fp"	177					
180.0	296	2	1	1				"APS_tz17_fp"	180					
180.0	297	3	3	1				"APS_tz17_fp"	180					
181.0	298	1	1	1				"APS_tz17_fp"	181					
181.0	299	2	3	1				"APS_tz17_fp"	181					
182.0	300	1	4	1				"APS_tz17_fp"	182					
182.0	301	3	1	1				"APS_tz17_fp"	182					
183.0	302	1	4	1				"APS_tz17_fp"	183					
183.0	303	3	1	1				"APS_tz17_fp"	183					
184.0	304	2	3	1				"APS_tz17_fp"	184					
184.0	305	4	1	1				"APS_tz17_fp"	184					
185.0	306	3	1	1				"APS_tz17_fp"	185					
185.0	307	4	4	1				"APS_tz17_fp"	185					
186.0	308	2	3	1				"APS_tz17_fp"	186					
186.0	309	4	1	1				"APS_tz17_fp"	186					
187.0	310	2	2	1				"APS_tz17_fp"	187					
187.0	311	4	1	1				"APS_tz17_fp"	187					
188.0	312	2	2	1				"APS_tz17_fp"	188					
189.0	313	1	2	1				"APS_tz17_fp"	189					
189.0	314	2	3	1				"APS_tz17_fp"	189					
190.0	315	2	2	1				"APS_tz17_fp"	190					
191.0	316	2	2	1				"APS_tz17_fp"	191					
191.0	317	4	3	1				"APS_tz17_fp"	191					
192.0	318	2	4	1				"APS_tz17_fp"	192					
192.0	319	3	4	1				"APS_tz17_fp"	192					
193.0	320	3	2	1				"APS_tz17_fp"	193					
194.0	321	2	4	1				"APS_tz17_fp"	194					
195.0	322	2	4	1				"APS_tz17_fp"	195					
195.0	323	4	1	1				"APS_tz17_fp"	195					
196.0	324	2	1	1				"APS_tz17_fp"	196					
196.0	325	3	2	1				"APS_tz17_fp"	196					
197.0	326	1	3	1				"APS_tz17_fp"	197					
198.0	327	12	4	1				"APS_tz17_fp"	198					
199.0	328	2	4	1				"APS_tz17_fp"	199					
200.0	329	2	1	1				"APS_tz17_fp"	200					
200.0	330	3	2	1				"APS_tz17_fp"	200					
201.0	331	3	1	1				"APS_tz17_fp"	201					
201.0	332	3	2	1				"APS_tz17_fp"	201					
202.0	333	3	2	1				"APS_tz17_fp"	202					
203.0	334	2	3	1				"APS_tz17_fp"	203					
204.0	335	1	4	1				"APS_tz17_fp"	204					
204.0	336	2	4	1				"APS_tz17_fp"	204					
205.0	337	2	1	1				"APS_tz17_fp"	205					
206.0	338	3	1	1				"APS_tz17_fp"	206					
206.0	339	4	1	1				"APS_tz17_fp"	206					
207.0	340	2	1	1				"APS_tz17_fp"	207					
208.0	341	2	4	1				"APS_tz17_fp"	208					
210.0	342	3	1	1				"APS_tz17_fp"	210					
211.0	343	3	4	1				"APS_tz17_fp"	211					
212.0	344	1	4	1				"APS_tz17_fp"	212					
212.0	345	3	1	1				"APS_tz17_fp"	212					
213.0	346	2	4	1				"APS_tz17_fp"	213					
